,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,class
1,0.89,1.01,1.04,0.65,17.76,2.42,2.7,3.55,0.42,7.99,0.78,0
2,1.02,1.09,0.98,0.62,5.19,1.14,1.99,5.32,1.45,41.55,4.15,1
3,1.76,1.54,1.76,1.29,12,4.29,3.5,7,2,32,4,0
4,1,0.92,0.81,0.92,6.22,1.24,2.24,8.52,4.65,103.87,3.64,1
5,1.2,1.02,0.93,0.58,4.15,0.6,1.68,5.19,1.56,31.16,4.15,0
6,1.14,1.14,0.68,0.68,5.19,1.55,1.04,5.4,1.56,31.16,4.41,0
7,3.26,3.81,1.56,1.08,11.17,2.51,2.79,11.17,2.33,99.77,2.61,1
8,1,1.45,0.9,0.5,8.31,0.99,1.73,5.19,2.29,41.55,2.29,0
9,2.47,0.66,1.68,2.5,9,1.71,1.5,6,2.38,39.99,3.5,0
10,2.07,1.36,1.06,0.74,6.23,0.62,2.25,7.79,2.6,66.48,4.15,1
11,1.21,1.27,0.82,0.83,11.16,1.27,2.48,3.4,0.62,31.13,2.21,1
12,0.34,0.38,0.39,0.43,4.08,0.61,0.92,1.43,0.59,25.52,0.82,0
13,0.66,0.53,0.93,0.88,6.36,1.02,1.37,0.88,0.22,0,0.35,0
14,0.34,0.57,0.41,0.44,3.35,0.66,0.93,2.04,0.27,3.79,1.01,0
15,0.72,1.03,1.07,0.61,3.38,0.55,1.14,6.75,2.91,78.94,3.12,0
16,0.37,0.47,0.24,0.32,4.28,1.5,2.57,2.2,0.12,0,1.22,0
17,0.79,0.75,0.51,0.44,4.94,0.79,1.12,2.61,0.87,28.88,1.02,0
18,0.42,0.34,0.29,0.23,4.02,0.94,0.91,2.78,0.25,9.27,0.17,1
19,1.58,1.66,0.74,1,8.94,1.09,1.75,2.87,0.26,3.83,3.51,0
20,0.97,1.43,1.76,1.2,12.46,2.7,3.16,9.4,2.8,58.17,6.13,1
21,1.46,1.45,1.73,0.95,11.65,2.94,2.81,11.07,1.6,43.7,3.73,1
22,1.21,1.22,1.04,0.94,4.68,1.41,1.66,2.93,2.05,67.04,1.76,1
23,0.53,0.35,0.48,0.21,8.05,1.23,1.29,1.56,0.48,13.41,0.8,0
24,0.53,0.35,0.68,0.31,8.05,1.41,2.09,1.61,0.4,26.82,0.8,1
25,0.72,0.63,0.74,0.44,4.44,0.71,0.99,3.67,0.8,22.22,1.56,0
26,2.39,1.72,2.12,1.59,10.06,4.36,4.34,18.78,2.15,61.33,2.92,1
27,1.09,1.2,1.08,1.41,8.41,2.4,2.8,14.41,3.24,66.06,3.84,1
28,1.4,1.71,1.14,0.5,5.45,1.66,2.35,10.39,1.56,55,2.6,0
29,0.59,0.59,1,1.04,4.68,1.05,1.08,2.84,1.61,29.28,1.38,0
30,0.29,0.45,0.63,0.48,3.52,0.61,1.17,2.16,0.27,5.41,0.95,1
31,3.11,2.16,1.25,2,7.99,2.86,2.75,6,2,30,3.5,0
32,1.68,1.26,1.07,0.74,3.12,1.03,3.12,5.19,2.08,38.95,5.19,0
33,1.48,2.06,1.57,1.69,12,2.75,2.33,8,2.5,35,3.5,0
34,0.72,0.63,0.67,0.39,4.44,0.71,0.99,3.55,0.67,19.55,1.56,0
35,0.38,0.44,1.01,0.41,3.52,0.69,1.04,1.76,0.38,7.3,1.28,0
36,1.74,1.65,1.14,0.67,9.35,0.59,1.66,7.48,3.01,83.1,5.19,1
37,0.41,0.41,0.22,0.27,20.36,0.81,1.22,2.04,0.12,6.92,0.35,0
38,0.47,0.41,0.5,0.41,4.06,0.63,0.98,1.76,0.22,4.06,0.84,0
39,0.81,0.94,0.55,0.86,8,1.49,2,5.5,0.4,27.5,1.5,0
40,1.19,0.93,0.78,0.67,6.22,1.24,1.76,8.31,3.38,129.84,3.69,1
41,0.35,0.45,1.02,0.37,8.88,1.71,3.31,3.67,0.31,12.24,1.1,0
42,1.32,1.21,1.34,1.32,14.27,2.77,3.49,11.65,1.75,62.05,7.72,1
43,1.27,1.48,0.85,0.55,5.19,0.99,1.25,5.19,1.25,41.55,5.19,1
44,0.99,1.12,0.95,0.95,4.38,1.09,1.58,4.54,0.58,27.37,0.52,1
45,2.53,2.58,1.71,1.69,9.5,2.86,2.5,9.59,2,50,4.5,0
46,2.55,1.8,1.14,1.34,8.41,1.86,2.2,14.41,3.6,80.82,3.84,1
47,2.24,2.42,2.26,1.82,15,3.18,3.04,10,2.38,57.5,3.5,1
48,0.78,0.49,0.67,0.41,7.77,1.82,2,2.66,0.9,7.99,0.67,0
49,0.8,0.99,0.71,0.37,4.15,0.99,1.35,5.71,1.25,20.77,6.23,1
50,0.79,1.34,1.06,0.6,4.67,0.67,1.31,7.79,2.96,67.52,4.05,0
51,1,1.4,1.66,1.7,10.39,2.27,3.12,9.5,2.91,62.01,5.14,0
52,2.41,2.21,2.14,1.25,12.28,2.19,1.86,13.25,2.42,65.52,3.35,1
53,2.18,2.15,2.18,1.41,11.62,2.24,2.1,8.88,3.17,73.97,6.34,1
54,3.99,2.6,1.5,2,10,2.14,3,9,1.88,70,3.5,0
55,2.07,2.24,1.69,1.62,16,2.7,3.08,6.5,1,42.5,5,1
56,1.34,1.2,0.8,1.1,7.81,2.59,2.9,15.62,3.6,67.89,2.64,0
57,1.57,2.34,1.25,1.38,12.75,1.79,2.27,6,1.38,125,2.75,0
58,2.23,2.74,1.6,1.52,9.99,2,1.75,10,2.75,50,5.62,0
59,0.35,0.41,0.56,0.34,4.9,1.84,1.96,3.06,0.43,12.24,1.22,0
60,0.43,0.42,0.3,0.53,3.26,1.67,2.33,3.26,0.47,23.26,0.65,0
61,0.93,0.96,1.24,0.35,6.23,0.68,0.99,7.01,2.18,62.84,4.88,0
62,1.51,1.16,1.05,0.33,6.23,1.17,1.69,6.18,1.35,40.51,6.23,1
63,2.08,1.56,0.73,0.26,10.39,0.79,2.08,5.35,1.82,74.79,2.6,0
64,0.58,0.66,0.68,0.57,5.81,0.71,1.15,4.65,0.53,25.35,0.53,1
65,0.72,0.92,0.91,0.23,5.18,0.87,1.65,7.06,2.65,84.65,3.43,0
66,0.88,1.04,1.04,1.04,4.15,1.04,2.08,4.15,1.25,31.16,2.6,0
67,1.82,1.22,1.17,1.09,6.75,0.96,2.36,5.19,1.38,31.16,3.12,1
68,0.58,0.57,1.15,0.75,8.31,0.74,1.47,2.78,0.52,7.37,2.28,0
69,0.7,0.77,0.74,0.54,5.84,0.75,1.02,3.08,0.8,23.89,0.68,1
70,0.34,0.68,0.5,0.44,4.87,0.63,0.97,1.76,0.22,1.62,1.22,0
71,1.82,1.01,1.11,0.51,5.18,0.61,1.48,7.37,2.49,64.4,3.01,0
72,1.44,0.92,0.92,1.4,10.39,2.59,3.52,15.58,2.49,84.13,4.67,1
73,0.92,0.82,0.37,0.51,12.23,0.71,1.43,0.92,0.37,8.15,0.92,0
74,1.39,1.35,0.96,1.15,10.38,1.46,1.96,2.85,0.52,25.94,2.59,1
75,1.31,1.23,1.54,1.01,10.2,2.32,2.48,10.92,1.17,35.82,5.83,1
76,1.08,1,0.77,1.09,7.51,1.97,1.98,10.51,4.14,76.76,2.64,0
77,1.38,1.2,0.8,1.1,7.21,2.19,3.54,15.62,3.84,75.67,3.6,1
78,1,0.92,0.78,0.62,6.22,1.24,1.76,8.31,3.12,71.67,4.15,1
79,0.85,1.05,0.97,0.61,6.22,1.31,1.81,5.3,1.82,41.55,3.38,1
80,4.18,3.36,1.95,2.88,13.5,3.65,4.62,6,1.5,42,4.5,1
81,0.24,0.55,0.18,0.32,6.12,1.1,2.75,4.28,0.12,6.73,1.22,0
82,2.59,0.88,1.34,2.33,9,2.39,3.09,9.68,2,39,1.5,0
83,1.59,2.12,1.63,0.58,5.71,1.34,2.41,6.02,1.4,37.13,3.64,1
84,1.45,1.62,1.64,0.54,8.31,1.35,1.49,5.71,2.7,51.93,5.66,1
85,1.15,0.99,0.6,0.99,4.38,0.99,1.64,4.38,0.61,36.13,0.38,0
86,0.81,0.81,0.53,0.61,5.09,0.93,1.29,1.21,0.53,10.7,0.4,0
87,1.92,1.56,1.09,1.02,8,3.21,2.2,8,5,30,3,1
88,0.37,0.47,0.43,0.39,1.84,2.24,3.98,3.37,0.18,4.28,0.61,0
89,1.03,0.92,0.83,0.66,6.22,1.19,1.17,8.52,2.86,93.48,3.4,1
90,1.13,1.37,0.86,1.15,8.41,2.09,2.23,15.47,3.24,84.08,3.12,1
91,0.88,0.91,0.89,1.2,5.47,0.73,1.06,3.17,0.66,28.92,0.33,0
92,0.58,0.69,0.89,0.4,4.89,0.78,1.17,4.33,0.76,18.66,1.11,1
93,1.04,1,0.68,0.83,7.58,1,1.62,2.44,0.61,24.97,1.05,0
94,0.43,0.27,0.4,0.22,5.36,1.43,1.89,1.56,0.34,10.73,0.59,1
95,2.55,2.78,2.09,1.97,9.99,2.16,3.92,9.65,2,35,3.5,1
96,0.68,0.92,1.04,0.51,5.18,0.55,1.55,7.48,3.22,84.65,3.64,0
97,0.25,0.17,0.15,0.34,7.13,1.02,2.14,1.91,0.14,4.07,0.33,0
98,0.35,0.45,0.7,0.37,11.02,1.7,2.88,4.28,0.61,24.49,0.61,1
99,2.7,3.33,1.4,1.23,13,2.14,1.79,5,1.5,35,2.85,0
100,0.89,0.64,1.15,0.7,8.19,1.01,1.86,2.95,0.82,32.75,2.87,0
101,1.03,1.51,1.11,0.55,5.19,0.75,1.56,5.71,1.12,20.76,5.71,1
102,0.54,0.6,0.4,0.53,6.98,1.58,2.06,3.54,0.44,18.61,0.93,0
103,0.9,0.85,0.98,0.36,3.84,0.81,1.03,4.6,1.02,18.92,1.53,1
104,0.56,1.13,0.51,0.5,7.69,2.2,2.05,4.48,0.26,11.53,1.28,0
105,0.56,0.67,0.7,0.47,5.55,0.78,0.89,3.55,0.8,12.66,1.33,0
106,2.53,2.58,1.71,1.69,9.5,3.57,4.17,10,0,0,2.5,1
107,0.92,1.61,1.54,1.54,12.46,2.64,3.98,9.87,3.43,54.53,6.18,1
108,0.27,0.23,0.3,0.27,5.36,1.64,1.83,1.64,0.33,7.91,0.59,0
109,1.9,2.77,2.58,1.91,15,1.43,2,12,2.75,130.43,2.79,0
110,2.36,2.74,1.46,1.83,17,1.99,2.33,6.85,1.25,48,2.25,0
111,0.74,1.26,0.72,1.32,9.61,2.7,2.32,12.85,3.12,77.78,4.32,1
112,1.99,1.12,1.37,0.96,6.75,1.34,1.91,7.79,2.6,39.21,2.49,1
113,0.37,0.37,0.23,0.56,6.98,1.49,1.95,2.93,0.33,13.96,0.74,0
114,1.27,0.52,0.86,0.26,3.12,1.57,2.34,5.71,1.14,25.97,5.19,0
115,0.75,0.82,0.94,0.55,5.3,0.57,0.92,3.18,1.17,27.81,1.06,1
116,2.24,2.42,1.78,1.75,10,2.14,2.8,9,2,69,3.5,1
117,1.36,1.31,0.87,1.06,11.65,2.5,2.82,10.49,1.72,71.37,3.86,0
118,0.55,0.65,0.53,0.54,6.34,0.72,1,4.81,0.63,16.9,0.57,1
119,1.12,1.28,1.04,0.72,3.64,1.03,1.58,5.19,2.6,49.86,3.64,0
120,1.22,1.09,1.73,0.48,5.19,1.47,2.2,6.23,1.45,36.35,6.75,1
121,1.19,1.41,0.98,0.69,5.19,2.51,2.6,6.02,1.56,36.35,3.9,1
122,1.04,1.04,1.04,0.68,4.67,1.3,1.82,7.89,1.66,67.52,5.19,0
123,1.42,1.62,1.49,1.96,11.99,2.71,1.2,8.25,2,64,3,0
124,1.55,1.32,1.14,0.61,6.02,1.35,1.69,5.79,1.66,34.28,4.15,0
125,2.08,1.19,0.91,0.78,10.38,1.57,3.37,4.15,0.39,31.19,2.33,0
126,2.8,1.4,0.84,1.46,9.01,2.32,3.17,13.84,6.01,78.34,3,1
127,0.88,0.91,0.89,1.2,5.47,0.92,1.68,3.17,0.77,131.37,0.33,0
128,2.2,2.26,1.73,1.93,14,2.03,4,6.81,1.5,50,2.5,0
129,0.51,0.39,0.46,0.26,10.83,1.08,2.53,2.6,0.18,0,0.36,0
130,0.94,1.11,0.98,0.33,3.25,3.25,3.25,3.09,1.14,48.79,3.25,0
131,2.55,1.93,2.4,2.7,11.17,2.45,2.58,11.17,2.98,107.58,3.07,1
132,0.95,1.44,1.17,1.28,2.8,1.2,2.24,1.67,0.27,7,1,0
133,0.67,0.89,1,0.47,5.55,0.78,0.89,3.78,0.8,19.33,1.33,0
134,1.27,0.97,0.72,0.9,7.21,2.17,2.32,14.29,3,73.27,3.6,1
135,0.4,0.29,0.4,0.3,3.22,1.44,1.91,1.61,0.3,8.05,0.54,1
136,3.61,2.17,1.08,0.72,10.83,1.44,2.89,4.33,2.17,57.75,5.78,0
