,x1,x2,x3,x4,x5,x6,x7,x8,class
0,4.9,22.04,4.28,1.84,3.67,1.78,0.48,0.19,1
1,5.59,40.51,5.59,1.12,4.19,3.96,0.52,0.32,1
2,2.54,22.25,3.5,2.02,3.18,2.19,0.59,0.27,1
3,3.54,27.4,3.54,1.24,1.9,2.91,0.93,0.51,1
4,7.16,52.77,6.03,3.02,4.52,3.86,1.46,0.78,1
5,2.6,28.09,5.62,2.25,4.21,2.06,0.5,0.26,1
6,2,14.69,3.67,2.2,3.67,1.6,0.36,0.15,1
7,4.05,27.94,4.89,0.84,1.68,3.41,0.44,0.32,1
8,3.67,18.36,3.67,2.45,4.28,2.49,0.46,0.19,1
9,4.19,30.73,5.59,1.4,4.05,4.55,0.51,0.43,1
10,7.22,43.31,5.47,3.25,3.61,3.19,1.17,0.78,1
11,3.38,45.06,6.76,1.13,1.8,3.4,0.39,0.26,1
12,2.23,11.14,3.56,2.12,2.67,1.39,0.29,0.18,1
13,1.87,11.24,4.68,5.62,4.92,1.89,0.27,0.15,1
14,7.45,37.27,6.52,2.24,3.35,1.51,1.08,0.75,1
15,7.22,43.31,5.05,4.3,5.05,3.42,1.21,0.82,1
16,13.1,65.5,6.55,4.09,4.09,3.42,1.3,0.74,1
17,4.19,27.94,4.89,1.12,3.91,4.14,0.47,0.33,1
18,7.78,39.95,6.75,2.59,4.1,2.75,1.03,0.75,1
19,4.07,20.36,4.07,1.63,2.55,1.76,0.26,0.15,1
20,25,100,10,8,10,5.38,2.72,2.32,1
21,5.36,24.14,4.29,2.68,3.22,1.84,0.88,0.31,1
22,6.4,25,5,1.79,2.4,1.75,1,0.81,1
23,3.06,18.36,4.28,2.11,3.67,2.01,0.46,0.18,1
24,4,29.19,4.96,0.88,1.94,1.49,0.88,0.76,1
25,2.79,24.3,4.96,1.12,2.79,3.61,0.41,0.29,1
26,2.2,12.24,4.9,2.2,4.28,1.61,0.44,0.18,1
27,1.56,17.82,3.56,3.01,4.01,1.79,0.22,0.17,1
28,4.19,27.94,6.29,1.4,2.1,3.49,0.45,0.28,1
29,15.58,62.32,10.39,7.27,6.23,3.8,2.84,2.4,1
30,18.02,80.48,8.41,7.09,6.01,3.96,2.01,1.64,1
31,2.45,12.24,5.26,1.84,3.67,2,0.45,0.18,1
32,20,87.09,10,7.5,8,4.95,2.7,2.28,1
33,2.02,24.23,4.04,1.01,2.02,1.99,0.54,0.3,1
34,7.22,36.1,5.05,2.89,3.61,2.57,1,0.76,1
35,3.49,26.54,5.59,1.51,2.1,2.8,0.42,0.23,1
36,6.52,27.95,6.52,1.86,2.8,1.53,1.09,0.75,1
38,3.84,23.06,5.12,2.05,3.84,2.57,0.83,0.54,1
39,7.84,64.25,10.51,2.2,1.5,3.93,1.95,1.42,0
40,3.14,18.86,4.89,0.77,1.4,3.49,0.4,0.28,0
41,2.79,20.95,4.19,1.12,1.96,2.68,0.41,0.21,0
42,2.79,20.95,4.19,1.12,1.96,2.68,0.41,0.25,0
43,2.1,16.76,4.19,0.77,2.23,3.21,0.44,0.28,1
44,2.79,13.97,5.24,1.12,2.1,3.4,0.7,0.28,0
45,20,80,9.5,5.5,6.5,4.7,2.29,1.99,1
46,2.79,16.76,4.75,0.84,2.79,3.68,0.41,0.26,1
47,2.02,20.03,5.21,0.81,1.62,1.89,0.43,0.27,1
48,3.49,20.95,4.89,0.7,1.89,2.8,0.42,0.23,0
49,3.14,18.86,6.15,0.56,1.68,2.51,0.42,0.28,0
50,3.67,14.69,4.28,2.45,3.67,1.93,0.42,0.16,1
51,3.33,22.2,4,3.44,4.44,2.67,0.59,0.38,1
53,3.06,18.34,4.48,1.02,2.04,1.11,0.57,0.48,1
54,2.45,12.24,3.67,3.37,5.51,1.67,0.45,0.19,1
55,2.79,20.95,4.89,0.84,1.68,3.25,0.42,0.28,0
56,3.07,20.95,4.54,0.88,1.4,2.99,0.47,0.31,1
57,2.79,16.76,4.64,2.44,1.4,2.93,0.31,0.21,0
58,3.14,27.94,4.89,0.7,2.17,3.69,0.44,0.33,0
59,2.79,20.95,4.19,1.12,1.96,2.68,0.41,0.25,0
60,2.79,22.35,4.89,0.84,2.1,3.2,0.44,0.28,0
61,2.1,20.95,4.19,0.7,2.1,3.49,0.44,0.26,0
62,2.14,24.66,6.65,1.07,1.72,1.8,0.31,0.26,1
63,8.76,43.79,6.57,3.28,3.83,2.47,1.07,0.89,1
64,7.68,64.02,5.51,6.4,6.4,5.08,1.17,1.05,1
65,2.79,20.95,4.64,0.63,1.4,2.93,0.35,0.21,1
66,2.79,16.76,4.89,0.7,2.51,3.35,0.41,0.27,1
67,6.65,53.22,6.92,1.6,1.86,3.84,0.78,0.23,1
68,3.07,20.95,4.54,0.88,1.4,2.99,0.47,0.28,0
69,2.3,17.46,5.45,0.84,2.79,2.79,0.49,0.26,0
70,4.19,31.43,5.59,0.84,2.1,3.6,0.52,0.3,1
71,4.19,16.76,5.83,0.7,2.1,3.91,0.42,0.35,0
73,20,100,9.5,6,8,4.64,2.19,2.03,1
74,2.44,27.94,5.24,1.05,2.1,3.31,0.52,0.24,0
75,3.14,20.25,5.24,4.19,6.98,4.19,0.35,0.28,0
76,2.79,22.35,4.89,1.12,2.1,3.49,0.44,0.28,0
77,3.84,20.95,4.19,4.19,4.89,3.77,0.49,0.28,0
78,4.72,22.85,8,1.83,3.5,2.45,0.46,0.2,1
79,3.63,24.44,5.45,0.84,2.03,3.45,0.42,0.24,0
81,12.46,51.93,8.31,3.64,3.64,2.2,2.33,1.66,1
82,5,20,7,2.25,2.95,2.32,0.52,0.29,1
83,2.79,16.76,4.19,0.84,2.79,3.49,0.35,0.26,0
84,2.1,13.83,3.84,1.4,4.89,3.49,0.42,0.28,0
85,4.48,10.18,3.26,0.94,1.63,1.24,0.24,0.15,1
86,19,67.5,8,6,8,4.6,2.33,1.52,1
87,20,75,8,5,7,4.66,2.27,1.5,1
88,2.93,20.95,4.61,0.84,2.1,3.02,0.42,0.28,1
